Date,Team,Acquired,Relinquished,Notes
2012-03-03, Hornets, ,Trevor Ariza, illness (DNP)
2012-03-03, Mavericks, ,Brandan Wright, concussion (DNP)
2012-03-03, Pacers, ,Jeff Foster, sore lower back (DNP)
2012-03-03, Thunder, ,Thabo Sefolosha, sore right foot (DNP) (F)
2012-03-03, Wizards, ,Nick Young, bruised right knee (DNP)
2012-03-03, Wizards, ,Rashard Lewis, sore left knee (DNP)
2012-03-04, Nets, ,Mehmet Okur, sore lower back (DNP) (F)
2012-03-04, Nuggets, ,Danilo Gallinari, sprained left ankle (DNP) (P)
2012-03-04, Nuggets, ,Rudy Fernandez, strained lower back (DNP) (P)
2012-03-04, Warriors, ,Stephen Curry, right foot injury (DNP)
2012-03-05, Bucks, ,Luc Richard Mbah a Moute / Luc Mbah a Moute, sore right knee (DNP)
2012-03-05, Bucks, ,Stephen Jackson, sore right hamstring (DNP)
2012-03-05, Bulls, ,C.J. Watson, left ankle injury (DNP)
2012-03-05, Hornets, ,Emeka Okafor, sore left knee (DNP)
2012-03-05, Hornets, ,Jason Smith, concussion (DNP)
2012-03-05, Nuggets, ,Rudy Fernandez, strained lower back (DNP) (P)
2012-03-05, Pacers, ,Jeff Foster, sore lower back (DNP)
2012-03-05, Raptors, ,Amir Johnson, right knee injury (DTD)
2012-03-05, Wizards, ,Rashard Lewis, sore left knee (DNP)
2012-03-06, Hawks, ,Jason Collins, sprained left elbow (DNP)
2012-03-06, Mavericks, ,Brendan Haywood, sprained left ankle (DNP)
2012-03-06, Nets, ,Brook Lopez, sprained right ankle (DNP) (F P)
2012-03-06, Nets, ,Mehmet Okur, sore lower back (DNP) (F)
2012-03-06, Pacers, ,Jeff Foster, sore lower back (DNP)
2012-03-07, 76ers, ,Thaddeus Young, upper respiratory infection (DNP)
2012-03-07, Bucks, ,Luc Richard Mbah a Moute / Luc Mbah a Moute, sore right knee (DNP)
2012-03-07, Bucks, ,Stephen Jackson, sore right hamstring (DNP)
2012-03-07, Bulls, ,C.J. Watson, sprained left ankle (DNP)
2012-03-07, Bulls, ,Richard Hamilton, right shoulder injury (DNP)
2012-03-07, Cavaliers, ,Anderson Varejao, fractured bone in right wrist (DNP) (F)
2012-03-07, Clippers, ,Ryan Gomes, illness (DTD)
2012-03-07, Hawks, ,Tracy McGrady, rest (DNP)
2012-03-07, Hornets, ,Carl Landry, sprained MCL in left knee (DNP) (F)
2012-03-07, Hornets, ,Emeka Okafor, sore left knee (DNP)
2012-03-07, Hornets, ,Gustavo Ayon, sore left foot (DNP)
2012-03-07, Hornets, ,Jason Smith, concussion (DNP)
2012-03-07, Kings, ,DeMarcus Cousins, food poisoning (DNP)
2012-03-07, Knicks, ,Jared Jeffries, sore right knee (DTD)
2012-03-07, Knicks, ,Tyson Chandler, hamstring injury (DNP)
2012-03-07, Nets, ,Brook Lopez, sprained right ankle (DNP) (P)
2012-03-07, Nets, ,Mehmet Okur, sore lower back (DNP) (F)
2012-03-07, Nuggets, ,Timofey Mozgov, sprained left ankle (DTD)
2012-03-07, Wizards, ,Rashard Lewis, sore left knee (DNP)
2012-03-08, Bulls, ,C.J. Watson, sore left ankle (DNP)
2012-03-08, Bulls, ,Richard Hamilton, sore right shoulder (DNP)
2012-03-08, Mavericks, ,Brendan Haywood, sprained left ankle (DNP)
2012-03-09, Bucks, ,Stephen Jackson, sore right hamstring (DNP)
2012-03-09, Cavaliers, ,Anderson Varejao, fractured bone in right wrist (DNP) (F)
2012-03-09, Clippers, ,Kenyon Martin (Sr.), sore ribs (DNP)
2012-03-09, Hawks, ,Willie Green, lower back spasms (DNP)
2012-03-09, Hornets, ,Carl Landry, sprained MCL in left knee (DNP) (F)
2012-03-09, Hornets, ,Emeka Okafor, sore left knee (DNP)
2012-03-09, Hornets, ,Jason Smith, concussion (DNP)
2012-03-09, Knicks, ,Tyson Chandler, strained hamstring (DNP)
2012-03-09, Mavericks, ,Brendan Haywood, sprained left ankle (DNP)
2012-03-09, Nets, ,Brook Lopez, sprained right ankle (DNP) (F P)
2012-03-09, Nets, ,Mehmet Okur, sore lower back (DNP) (F)
2012-03-09, Spurs, ,T.J. Ford, head injury (DNP) (P)
2012-03-09, Timberwolves, ,Kevin Love, back spasms (DNP)
2012-03-09, Timberwolves, ,Ricky Rubio, torn ACL in left knee (out for season)
2012-03-10, Bulls, ,Joakim Noah, illness (DNP)
2012-03-10, Bulls, ,Luol Deng, torn ligament in left wrist (DNP)
2012-03-10, Bulls, ,Richard Hamilton, right shoulder injury (DNP)
2012-03-10, Hornets, ,Carl Landry, sprained MCL in left knee (DNP) (F)
2012-03-10, Hornets, ,Emeka Okafor, sore left knee (DNP)
2012-03-10, Hornets, ,Jason Smith, concussion (DNP)
2012-03-10, Jazz, ,Devin Harris, stomach flu (DNP)
2012-03-10, Mavericks, ,Brendan Haywood, sprained left ankle (DNP)
2012-03-10, Mavericks, ,Jason Kidd, rest (DNP)
2012-03-10, Nets, ,Brook Lopez, sprained right ankle (DNP) (F P)
2012-03-10, Nets, ,Deron Williams, strained right calf (DNP)
2012-03-10, Nets, ,Mehmet Okur, sore lower back (DNP) (F)
2012-03-10, Pacers, ,George Hill, sprained left shoulder (DNP)
2012-03-10, Pacers, ,Jeff Foster, sore lower back (DNP)
2012-03-10, Timberwolves, ,Kevin Love, back spasms (DNP)
2012-03-10, Wizards, ,Rashard Lewis, sore left knee (DNP) (P)
2012-03-11, Bucks, ,Luc Richard Mbah a Moute / Luc Mbah a Moute, sore right knee (DNP)
2012-03-11, Bucks, ,Shaun Livingston, sprained left ankle (DNP)
2012-03-11, Bucks, ,Stephen Jackson, sore right hamstring (DNP)
2012-03-11, Cavaliers, ,Anderson Varejao, fractured bone in right wrist (DNP) (F)
2012-03-11, Nuggets, ,Kosta Koufos, strained left knee (DNP) (F P)
2012-03-11, Pacers, ,George Hill, sprained left shoulder (DNP)
2012-03-11, Pacers, ,Jeff Foster, sore lower back (DNP)
2012-03-12, Bucks, ,Luc Richard Mbah a Moute / Luc Mbah a Moute, sore right knee (DNP)
2012-03-12, Bucks, ,Shaun Livingston, sprained left ankle (DNP)
2012-03-12, Bucks, ,Stephen Jackson, sore right hamstring (DNP)
2012-03-12, Bulls, ,Luol Deng, torn ligament in left wrist (DNP)
2012-03-12, Bulls, ,Richard Hamilton, right shoulder injury (DNP)
2012-03-12, Hornets, ,Carl Landry, sprained MCL in left knee (DNP) (F)
2012-03-12, Hornets, ,Emeka Okafor, sore left knee (DNP)
2012-03-12, Hornets, ,Jason Smith, concussion (DNP)
2012-03-12, Nets, ,Brook Lopez, sprained right ankle (DNP) (F P)
2012-03-12, Nets, ,Deron Williams, strained right calf (DNP)
2012-03-12, Nets, ,Mehmet Okur, sore lower back (DNP) (F)
2012-03-12, Wizards, ,Rashard Lewis, sore left knee (DNP) (P)
2012-03-12, Wizards, ,Ronny Turiaf, fractured left hand (DNP) (F)
2012-03-13, Cavaliers, ,Anderson Varejao, fractured bone in right wrist (DNP) (F)
2012-03-13, Grizzlies, ,Rudy Gay, concussion (DNP)
2012-03-13, Lakers, ,Luke Walton, gastroenteritis (DNP)
2012-03-13, Magic, ,Earl Clark, sore left foot (DTD)
2012-03-13, Nuggets,Timofey Mozgov, , returned to lineup
2012-03-13, Pacers, ,Jeff Foster, sore lower back (DNP)
2012-03-13, Rockets, ,Kevin Martin, strained right shoulder (DNP)
2012-03-13, Warriors, ,Stephen Curry, sprained right ankle (DNP)
2012-03-14, Bucks, ,Shaun Livingston, sprained right ankle (DNP)
2012-03-14, Bulls, ,Derrick Rose, sore groin (DNP)
2012-03-14, Cavaliers, ,Anderson Varejao, fractured bone in right wrist (DNP) (F)
2012-03-14, Hawks, ,Marvin Williams, hip flexor injury (DTD)
2012-03-14, Hornets, ,Carl Landry, sprained MCL in left knee (DNP) (F)
2012-03-14, Hornets, ,Emeka Okafor, sore left knee (DNP)
2012-03-14, Hornets, ,Jason Smith, concussion (DNP)
2012-03-14, Nets, ,Brook Lopez, sprained right ankle (DNP) (F P)
2012-03-14, Nets, ,Deron Williams, strained right calf (DNP)
2012-03-14, Nets, ,Mehmet Okur, sore lower back (DNP) (F)
2012-03-14, Pacers, ,Jeff Foster, sore lower back (DNP)
2012-03-14, Rockets, ,Kevin Martin, strained right shoulder (DNP)
2012-03-14, Warriors, ,Stephen Curry, sprained right ankle (DNP)
2012-03-15, Hornets, ,Carl Landry, sprained MCL in left knee (DNP) (F)
2012-03-15, Hornets, ,Emeka Okafor, sore left knee (DNP)
2012-03-15, Hornets, ,Jason Smith, concussion (DNP)
2012-03-15, Suns, ,Grant Hill, rest (DNP)
2012-03-15, Suns, ,Steve Nash, rest (DNP)
2012-03-15, Wizards, ,Rashard Lewis, sore left knee (DNP) (F P)
2012-03-16, Blazers, ,Elliot Williams, left shoulder injury (DNP) (F)
2012-03-16, Bulls, ,Derrick Rose, strained groin (DNP)
2012-03-16, Hawks, ,Marvin Williams, hip flexor injury (DTD)
2012-03-16, Hawks, ,Willie Green, hamstring injury (DNP)
2012-03-16, Kings, ,J.J. Hickson, back injury (DTD)
2012-03-16, Kings, ,Tyreke Evans, sprained left ankle (DNP)
2012-03-16, Magic,Earl Clark, , returned to lineup
2012-03-16, Nets, ,Brook Lopez, sprained right ankle (DNP) (F P)
2012-03-16, Nets, ,Deron Williams, sore right calf (DNP)
2012-03-16, Nets, ,Jordan Farmar, strained right groin (DNP)
2012-03-16, Pacers, ,Jeff Foster, sore lower back (DNP)
2012-03-16, Thunder, ,Daequan Cook, sore right shoulder (DNP)
2012-03-16, Warriors, ,Stephen Curry, sprained right ankle (DNP)
2012-03-16, Wizards, ,Rashard Lewis, sore left knee (DNP) (F P)
2012-03-17, Bulls, ,Derrick Rose, strained groin (DNP)
2012-03-17, Hornets, ,Carl Landry, sprained MCL in left knee (DNP) (F)
2012-03-17, Hornets, ,Emeka Okafor, sore left knee (DNP)
2012-03-17, Jazz, ,Raja Bell, strained left / right (CBC) adductor (DNP)
2012-03-17, Knicks, ,Baron Davis, strained right hamstring (DNP)
2012-03-17, Mavericks, ,Shawn Marion, sore left knee (DNP)
2012-03-17, Nets, ,Jordan Farmar, sore right groin (DNP)
2012-03-17, Pacers, ,Jeff Foster, sore lower back (DNP)
2012-03-17, Raptors, ,Jose Calderon, sprained right ankle (DNP) (F)
2012-03-17, Rockets, ,Chandler Parsons, illness (DNP)
2012-03-17, Rockets, ,Kevin Martin, strained right shoulder (DNP)
2012-03-17, Warriors, ,Stephen Curry, sprained right ankle (DNP)
2012-03-18, Hawks, ,Jannero Pargo, stomach flu / appendicitis (CBC) (DNP)
2012-03-18, Hawks, ,Vladimir Radmanovic, back injury (DNP)
2012-03-18, Hawks, ,Vladimir Radmanovic, sore back (DNP)
2012-03-18, Hawks, ,Willie Green, hamstring injury (DNP)
2012-03-18, Rockets, ,Kevin Martin, strained right shoulder (DNP)
2012-03-19, Bulls, ,Derrick Rose, strained groin (DNP)
2012-03-19, Hawks, ,Vladimir Radmanovic, sore back (DNP)
2012-03-19, Mavericks, ,Shawn Marion, sore left knee (DNP)
2012-03-19, Nets, ,Jordan Farmar, sore right groin (DNP)
2012-03-19, Nuggets, ,Danilo Gallinari, fractured right thumb (DTD)
2012-03-19, Warriors, ,Stephen Curry, sprained right ankle (DNP)
2012-03-19, Hawks, ,Jannero Pargo, appendectomy (out indefinitely)
2012-03-20, Clippers,Ryan Gomes, , returned to lineup
2012-03-20, Heat, ,Joel Anthony, sprained left ankle (DNP)
2012-03-20, Rockets, ,Kevin Martin, strained right shoulder (DNP)
2012-03-21, Blazers, ,Elliot Williams, surgery on left shoulder (out for season) (date approximate)
2012-03-21, Bulls, ,Derrick Rose, strained groin (DNP)
2012-03-21, Cavaliers, ,Daniel Gibson, sprained left ankle (DNP) (F P)
2012-03-21, Clippers, ,Caron Butler, DNP
2012-03-21, Hawks, ,Marvin Williams, DNP
2012-03-21, Hawks, ,Vladimir Radmanovic, sore back (DNP)
2012-03-21, Hornets, ,Carl Landry, sprained MCL in left knee (DNP) (F)
2012-03-21, Hornets, ,Emeka Okafor, sore left knee (DNP)
2012-03-21, Mavericks, ,Shawn Marion, sore left knee (DNP)
2012-03-21, Nets, ,Jordan Farmar, sore right groin (DNP)
2012-03-21, Pistons, ,Charlie Villanueva, ankle injury (DTD)
2012-03-21, Pistons, ,Rodney Stuckey, toe injury (DTD)
2012-03-21, Timberwolves, ,Ricky Rubio, surgery on left knee to repair torn ACL
2012-03-21, Warriors, ,Andris Biedrins, strained right groin (DNP)
2012-03-21, Warriors, ,Stephen Curry, sprained right ankle (DNP)
2012-03-21, Wizards, ,Andray Blatche, conditioning (DNP)
2012-03-22, Hornets, ,Carl Landry, sprained MCL in left knee (DNP) (F)
2012-03-22, Hornets, ,Emeka Okafor, sore left knee (DNP)
2012-03-22, Jazz, ,Raja Bell, strained left / right (CBC) adductor (DNP) (F)
2012-03-22, Rockets, ,Kevin Martin, strained right shoulder (DNP)
2012-03-22, Warriors, ,Stephen Curry, sprained right ankle (DNP)
2012-03-22, Wizards, ,Andray Blatche, conditioning (DNP)
2012-03-23, Bobcats, ,DeSagana Diop, strained right hamstring (P) / knee injury (CBC) (DNP)
2012-03-23, Hawks, ,Vladimir Radmanovic, sore back (DNP)
2012-03-23, Hawks, ,Zaur Pachulia / Zaza Pachulia, sore right Achilles tendon (DNP)
2012-03-23, Jazz, ,Raja Bell, strained left / right (CBC) adductor (DNP) (F)
2012-03-23, Mavericks, ,Brendan Haywood, sprained right knee (DNP)
2012-03-23, Pistons, ,Rodney Stuckey, sore left big toe (DNP)
2012-03-23, Raptors, ,Jerryd Bayless, left hip pointer (DTD)
2012-03-23, Spurs, ,(William) Tony Parker, sore left hamstring (DNP)
2012-03-23, Spurs, ,Tiago Splitter, back spasms (DNP)
2012-03-23, Timberwolves, ,Michael Beasley, sprained left big toe (DNP)
2012-03-24, Bobcats, ,DeSagana Diop, strained right hamstring (F P) (DNP)
2012-03-24, Bulls, ,Derrick Rose, strained groin (DNP)
2012-03-24, Bulls, ,Richard Hamilton, right shoulder injury (DNP) (F)
2012-03-24, Clippers, ,Maurice Williams / Mo Williams, sprained left big toe (DNP)
2012-03-24, Hawks, ,Tracy McGrady, rest (DNP)
2012-03-24, Hornets, ,Chris Kaman, illness (DNP)
2012-03-24, Hornets, ,Emeka Okafor, sore left knee (DNP)
2012-03-24, Hornets, ,Trevor Ariza, sore right ankle (DNP)
2012-03-24, Mavericks, ,Brendan Haywood, sprained right knee (DNP)
2012-03-24, Nets, ,DeShawn Stevenson, flu (DNP)
2012-03-24, Pistons, ,Rodney Stuckey, sore left big toe (DNP)
2012-03-24, Pistons, ,Will Bynum, virus (DNP)
2012-03-24, Raptors, ,DeMar DeRozan, sore left ankle (DNP)
2012-03-24, Raptors, ,Jerryd Bayless, left hip pointer (DTD)
2012-03-24, Rockets, ,Kevin Martin, strained right shoulder (DNP)
2012-03-24, Spurs, ,Emanuel Ginobili / Manu Ginobili, sore hip (DNP) (P)
2012-03-24, Spurs, ,Gary Neal, sprained left foot (DNP)
2012-03-24, Spurs, ,Tiago Splitter, back spasms (DNP) (P)
2012-03-24, Warriors, ,Andris Biedrins, strained right groin (DNP)
2012-03-24, Warriors, ,Stephen Curry, sprained right ankle (DNP)
2012-03-25, 76ers, ,Andre Iguodala, patella tendinitis in left knee (DNP)
2012-03-25, Cavaliers, ,Daniel Gibson, sprained left ankle (DNP) (F P)
2012-03-25, Hawks, ,Vladimir Radmanovic, back injury (DNP)
2012-03-25, Jazz, ,Raja Bell, strained left adductor (DNP) (F)
2012-03-25, Spurs, ,Gary Neal, sprained left foot (DNP)
2012-03-25, Spurs, ,Tiago Splitter, back spasms (DNP) (P)
2012-03-25, Spurs, ,Tim Duncan, rest (DNP)
2012-03-25, Timberwolves, ,Jose Juan Barea / Jose Barea / J.J. Barea, bruised right thigh (DNP)
2012-03-25, Warriors, ,Andris Biedrins, strained right groin (DNP)
2012-03-25, Warriors, ,Stephen Curry, sprained right ankle (DNP)
2012-03-25, Wizards, ,Nene / Nene Hilario / Maybyner Hilario, back spasms (DNP)
2012-03-25, Celtics, ,Ray Allen, sore right ankle (DNP)
2012-03-26, Bobcats, ,DeSagana Diop, strained right hamstring (P) (DNP)
2012-03-26, Bulls, ,Derrick Rose, strained groin (DNP)
2012-03-26, Bulls, ,Richard Hamilton, right shoulder injury (DNP) (F)
2012-03-26, Celtics, ,Ray Allen, sore right ankle (DNP)
2012-03-26, Hornets, ,Chris Kaman, illness (DNP)
2012-03-26, Knicks, ,Jeremy Lin, sore left (CBC) / right knee (P) (DNP)
2012-03-26, Nets, ,Anthony Morrow, bruised right shoulder (DNP)
2012-03-26, Nets, ,Jordan Farmar, sore right groin (DNP)
2012-03-26, Nuggets, ,Danilo Gallinari, fractured left thumb (DNP)
2012-03-26, Raptors, ,DeMar DeRozan, sore left / right ankle (DNP)
2012-03-26, Rockets, ,Kevin Martin, strained right shoulder (DNP)
2012-03-26, Wizards, ,Trevor Booker, right knee tendinitis (DNP)
2012-03-27, 76ers, ,Andre Iguodala, patella tendinitis in left knee (DNP)
2012-03-27, Bucks, ,Carlos Delfino, right groin injury (DNP)
2012-03-27, Bucks, ,Ersan Ilyasova, back spasms (DNP)
2012-03-27, Cavaliers, ,Daniel Gibson, sprained left ankle (DNP) (F P)
2012-03-27, Lakers, ,Jordan Hill, sprained right knee (DNP)
2012-03-27, Mavericks, ,Brendan Haywood, sprained right knee (DNP)
2012-03-27, Raptors, ,Jerryd Bayless, partially torn left oblique muscle (out for season)
2012-03-27, Rockets, ,Kevin Martin, strained right shoulder (DNP)
2012-03-27, Suns, ,Grant Hill, right knee inflammation (DNP)
2012-03-27, Timberwolves, ,Jose Juan Barea / Jose Barea / J.J. Barea, bruised right thigh (DNP)
2012-03-27, Warriors, ,Andris Biedrins, strained right groin (DNP)
2012-03-28, Bobcats, ,Tyrus Thomas, elbow injury (DNP)
2012-03-28, Bulls, ,Derrick Rose, strained groin (DNP)
2012-03-28, Bulls, ,Richard Hamilton, right shoulder injury (DNP) (F)
2012-03-28, Cavaliers, ,Daniel Gibson, torn tendon in left ankle (DNP)
2012-03-28, Celtics, ,Ray Allen, sore right ankle (DNP)
2012-03-28, Hawks, ,Vladimir Radmanovic, sore back (DNP)
2012-03-28, Hornets, ,Chris Kaman, illness (DNP)
2012-03-28, Hornets, ,Emeka Okafor, sore left knee (DNP)
2012-03-28, Hornets, ,Trevor Ariza, sore right ankle (DNP)
2012-03-28, Knicks, ,Jeremy Lin, sore right knee (P) (DNP)
2012-03-28, Nets, ,Anthony Morrow, bruised right shoulder (DNP)
2012-03-28, Nets, ,Jordan Farmar, sore right groin (DNP)
2012-03-28, Pistons, ,Ben Gordon, groin injury (DTD)
2012-03-28, Raptors, ,James Johnson, upper respiratory infection (DNP)
2012-03-28, Suns, ,Grant Hill, right knee inflammation (DNP)
2012-03-28, Suns, ,Markieff Morris, flu (DNP)
2012-03-28, Timberwolves, ,Jose Juan Barea / Jose Barea / J.J. Barea, bruised right quadricep (DNP)
2012-03-28, Timberwolves, ,Michael Beasley, sprained left big toe (DNP)
2012-03-28, Warriors, ,Andris Biedrins, strained right groin (DNP)
2012-03-29, Blazers, ,Nolan Smith, ear infection (DNP)
2012-03-29, Hornets, ,Chris Kaman, illness (DNP)
2012-03-29, Hornets, ,Emeka Okafor, sore left knee (DNP)
2012-03-29, Hornets, ,Jarrett Jack, sore right ankle (DNP)
2012-03-29, Hornets, ,Trevor Ariza, sore right ankle (DNP)
2012-03-29, Nuggets, ,Rudy Fernandez, surgery on lower back (out for season)
2012-03-30, Blazers, ,LaMarcus Aldridge, sprained left elbow (DNP)
2012-03-30, Bulls, ,Derrick Rose, strained groin (DNP)
2012-03-30, Cavaliers, ,Daniel Gibson, torn tendon in left ankle (DNP)
2012-03-30, Celtics, ,Jermaine O'Neal, arthroscopic surgery on left wrist (out for season)
2012-03-30, Celtics, ,Ray Allen, sore right ankle (DNP)
2012-03-30, Hawks, ,Tracy McGrady, illness (DNP)
2012-03-30, Hawks, ,Vladimir Radmanovic, sore back (DNP)
2012-03-30, Jazz, ,Josh Howard, surgery on left knee (DNP) (F)
2012-03-30, Kings, ,Tyreke Evans, back spasms (DNP)
2012-03-30, Knicks, ,Jared Jeffries, sore right knee (DNP)
2012-03-30, Knicks, ,Jeremy Lin, sore left knee (P) (DNP)
2012-03-30, Nets, ,Jordan Farmar, sore right groin (DNP)
2012-03-30, Nets, ,Jordan Williams, concussion (DNP)
2012-03-30, Nets, ,Shelden Williams, right eye injury (DNP)
2012-03-30, Pistons, ,Rodney Stuckey, sore left hamstring (DNP)
2012-03-30, Rockets, ,Kevin Martin, strained right shoulder (DNP)
2012-03-30, Suns, ,Grant Hill, surgery on right knee to repair torn meniscus
2012-03-30, Timberwolves, ,Jose Juan Barea / Jose Barea / J.J. Barea, bruised right quadricep (DNP)
2012-03-30, Timberwolves, ,Michael Beasley, strained left big toe (DNP)
2012-03-30, Warriors, ,Andris Biedrins, strained right groin (DNP)
2012-03-31, Cavaliers, ,Kyrie Irving, sprained right shoulder (DNP)
2012-03-31, Grizzlies, ,Dante Cunningham, sprained left ankle (DNP)
2012-03-31, Grizzlies, ,Mike Conley Jr., sore right ankle (DNP)
2012-03-31, Hawks, ,Tracy McGrady, illness (DNP)
2012-03-31, Hawks, ,Vladimir Radmanovic, back injury (DNP)
2012-03-31, Hornets, ,Carl Landry, sprained right ankle (DNP)
2012-03-31, Hornets, ,Chris Kaman, illness (DNP)
2012-03-31, Hornets, ,Emeka Okafor, sore left knee (DNP)
2012-03-31, Hornets, ,Trevor Ariza, sore right ankle (DNP)
2012-03-31, Jazz, ,Josh Howard, surgery on left knee (DNP) (F)
2012-03-31, Knicks, ,Jeremy Lin, sore left knee (P) (DNP)
2012-03-31, Nets, ,Jordan Farmar, sore right groin (DNP)
2012-03-31, Nets, ,Shelden Williams, right eye injury (DNP)
2012-03-31, Pistons, ,Ben Gordon, sore groin (DNP)
2012-03-31, Pistons, ,Rodney Stuckey, sore left hamstring (DNP)
2012-04-01, Blazers, ,Joel Przybilla, sprained right knee (DNP)
2012-04-01, Bulls, ,Derrick Rose, strained groin (DNP)
2012-04-01, Celtics, ,Ray Allen, sore right ankle (DNP)
2012-04-01, Hornets, ,Carl Landry, sprained right ankle (DNP)
2012-04-01, Hornets, ,Emeka Okafor, sore left knee (DNP) (P)
2012-04-01, Hornets, ,Trevor Ariza, sore right ankle (DNP) (P)
2012-04-01, Nuggets, ,Wilson Chandler, strained left groin (DTD)
2012-04-01, Rockets, ,Kevin Martin, strained right shoulder (DNP)
2012-04-01, Rockets, ,Kyle Lowry, bacterial infection (DNP) (F)
2012-04-01, Timberwolves, ,Darko Milicic, strained right hamstring (DNP)
2012-04-01, Timberwolves, ,Jose Juan Barea / Jose Barea / J.J. Barea, bruised right quadricep (DNP)
2012-04-01, Wizards, ,Nene / Nene Hilario / Maybyner Hilario, plantar fasciitis in left foot (DNP)
2012-04-01, Wizards, ,Trevor Booker, plantar fasciitis in left foot (DNP)
2012-04-01, Timberwolves, ,Nikola Pekovic, bone spurs in right ankle (DNP)
2012-04-02, Blazers, ,Jamal Crawford, right knee injury (DNP)
2012-04-02, Bucks, ,Beno Udrih, left hand injury (DNP)
2012-04-02, Bulls, ,Derrick Rose, strained groin (DNP)
2012-04-02, Cavaliers, ,Daniel Gibson, surgery on left foot and ankle to repair torn tendon
2012-04-02, Grizzlies, ,Dante Cunningham, sprained left ankle (DNP)
2012-04-02, Grizzlies, ,Mike Conley Jr., sore right ankle (DNP)
2012-04-02, Jazz, ,Josh Howard, surgery on left knee (DNP) (F)
2012-04-02, Knicks, ,Jeremy Lin, surgery on left knee to repair torn meniscus (out for season)
2012-04-02, Mavericks, ,Lamar Odom, illness (DNP)
2012-04-02, Rockets, ,Kevin Martin, strained right shoulder (DNP)
2012-04-02, Rockets, ,Kyle Lowry, bacterial/sinus infection (DNP) (F)
2012-04-02, Timberwolves, ,Darko Milicic, strained right hamstring (DNP)
2012-04-02, Timberwolves, ,Jose Juan Barea / Jose Barea / J.J. Barea, bruised right quadricep (DNP)
2012-04-02, Wizards, ,Nene / Nene Hilario / Maybyner Hilario, plantar fasciitis in left foot (DNP)
2012-04-02, Wizards, ,Trevor Booker, plantar fasciitis in left foot (DNP)
2012-04-03, Cavaliers, ,Daniel Gibson, recovering from surgery on left foot and ankle to repair torn tendon (DNP)
2012-04-03, Kings, ,Marcus Thornton (T.), calf injury (DTD)
2012-04-03, Knicks, ,Bill Walker / Henry Walker, sore left elbow (DNP)
2012-04-03, Knicks, ,Jeremy Lin, recovering from surgery on left knee to repair torn meniscus (DNP)
2012-04-03, Lakers, ,Andrew Bynum, sprained left ankle (DNP)
2012-04-03, Nets, ,Jordan Farmar, sore right groin (DNP)
2012-04-03, Nets, ,Shelden Williams, right eye injury (DNP)
2012-04-03, Raptors, ,Gary Forbes, sore left knee (DTD)
2012-04-03, Magic, ,Dwight Howard, back spasms (DNP)
2012-04-04, Bucks, ,Drew Gooden, sore back (DNP)
2012-04-04, Cavaliers, ,Kyrie Irving, sprained right shoulder (DNP)
2012-04-04, Hornets, ,Chris Johnson (b. 1985-07-15), concussion (DNP)
2012-04-04, Hornets, ,Jarrett Jack, sore right ankle (P) / right foot injury (CBC) (DNP)
2012-04-04, Jazz, ,Devin Harris, sprained left ankle (DNP)
2012-04-04, Nets, ,Deron Williams, stomach virus (DNP)
2012-04-04, Nets, ,Jordan Farmar, sore right groin (DNP)
2012-04-04, Nets, ,Shelden Williams, right eye injury (DNP)
2012-04-04, Nuggets, ,Wilson Chandler, strained left groin (DNP)
2012-04-04, Raptors, ,Gary Forbes, sore left knee (DNP)
2012-04-04, Suns, ,Grant Hill, recovering from surgery on right knee to repair torn meniscus (DNP)
2012-04-04, Timberwolves, ,Darko Milicic, strained right hamstring (DNP)
2012-04-04, Wizards, ,Nene / Nene Hilario / Maybyner Hilario, plantar fasciitis in left foot (DNP)
2012-04-04, Wizards, ,Trevor Booker, plantar fasciitis in left foot (DNP)
2012-04-04, Timberwolves, ,Michael Beasley, sprained left big toe (DNP)
2012-04-05, Wizards, ,Nene / Nene Hilario / Maybyner Hilario, plantar fasciitis in left foot (DNP)
2012-04-05, Wizards, ,Trevor Booker, plantar fasciitis in left foot (DNP)
2012-04-06, Bobcats, ,D.J. Augustine, left knee tendinitis (DNP)
2012-04-06, Bobcats, ,Reggie Williams, left knee injury (DTD)
2012-04-06, Bucks, ,Drew Gooden, sore back (DNP)
2012-04-06, Bucks, ,Luc Richard Mbah a Moute / Luc Mbah a Moute, sore right knee (DNP)
2012-04-06, Cavaliers, ,Anthony Parker, sternum injury (DTD)
2012-04-06, Cavaliers, ,Daniel Gibson, recovering from surgery on left foot and ankle to repair torn tendon (DNP)
2012-04-06, Cavaliers, ,Kyrie Irving, sprained right shoulder (DNP)
2012-04-06, Grizzlies, ,Tony Allen, mouth injury (DNP)
2012-04-06, Hornets, ,Chris Johnson (b. 1985-07-15), concussion (DNP)
2012-04-06, Hornets, ,Jarrett Jack, sprained right foot (DNP)
2012-04-06, Magic, ,Hidayet Turkoglu / Hedo Turkoglu, surgery to repair facial fracture (out for season)
2012-04-06, Nets, ,Jordan Farmar, sore right groin (DNP)
2012-04-06, Nuggets, ,Wilson Chandler, strained left groin (DNP)
2012-04-06, Raptors, ,Jose Calderon, facial injury (DNP)
2012-04-06, Rockets, ,Kevin Martin, strained right shoulder (DNP)
2012-04-06, Suns, ,Grant Hill, recovering from surgery on right knee to repair torn meniscus (DNP)
2012-04-06, Wizards, ,Nene / Nene Hilario / Maybyner Hilario, plantar fasciitis in left foot (DNP)
